7/22/1802,11/17/1806,None
11/17/1806,6/22/1807,The Lord Grenville
6/22/1807,11/24/1812,The Duke of Portland
11/24/1812,08/04/1818,The Earl of Liverpool
08/04/1818,1/16/1821,The Earl of Liverpool
1/16/1821,6/19/1826,The Earl of Liverpool
6/19/1826,08/09/1830,The Earl of Liverpool
08/09/1830,7/25/1831,The Duke of Wellington
7/25/1831,1/29/1833,The Earl Grey
1/29/1833,2/19/1835,The Earl Grey
2/19/1835,11/15/1837,Sir Robert Peel
11/15/1837,8/19/1841,The Viscount Melbourne
8/19/1841,08/09/1847,The Viscount Melbourne
08/09/1847,11/04/1852,Lord John Russell
11/04/1852,4/30/1857,None
4/30/1857,5/31/1859,The Viscount Palmerston
5/31/1859,07/11/1865,The Earl of Derby
07/11/1865,12/10/1868,The Viscount Palmerston
12/10/1868,03/05/1874,None
03/05/1874,4/29/1880,Benjamin Disraeli
4/29/1880,01/12/1886,William Ewart Gladstone
01/12/1886,08/05/1886,The Marquess of Salisbury
08/05/1886,08/04/1892,The Marquess of Salisbury
08/04/1892,08/12/1895,The Marquess of Salisbury
08/12/1895,12/03/1900,The Marquess of Salisbury
12/03/1900,2/13/1906,The Marquess of Salisbury
2/13/1906,2/15/1910,Sir Henry Campbell-Bannerman
2/15/1910,1/31/1911,H. H. Asquith
1/31/1911,12/14/1918,H. H. Asquith
12/14/1918,11/15/1922,David Lloyd George
11/15/1922,12/06/1923,Andrew Bonar Law
12/06/1923,10/29/1924,Stanley Baldwin
10/29/1924,5/30/1929,Stanley Baldwin
5/30/1929,10/27/1931,Ramsay MacDonald
10/27/1931,11/14/1935,Ramsay MacDonald
11/14/1935,07/05/1945,Stanley Baldwin
07/05/1945,2/23/1950,None
2/23/1950,10/25/1951,Clement Attlee
10/25/1951,5/26/1955,Sir Winston Churchill
5/26/1955,10/08/1959,None
10/08/1959,10/15/1964,Harold Macmillan
10/15/1964,3/31/1966,None
3/31/1966,6/18/1970,Harold Wilson
6/18/1970,2/28/1974,None
2/28/1974,10/10/1974,Harold Wilson
10/10/1974,05/03/1979,Harold Wilson
05/03/1979,06/09/1983,None
06/09/1983,06/11/1987,Margaret Thatcher
06/11/1987,04/09/1992,Margaret Thatcher
04/09/1992,05/01/1997,John Major
05/01/1997,06/07/2001,None
06/07/2001,05/05/2005,Tony Blair
05/05/2007,05/06/2009,Gordon Brown
05/06/2010,05/05/2015,David Cameron